"00001","certain-1","O","ʔa"
"00002","certain-1-001","YÁ¸ SEN O.","yéʔ sən ʔa."
"00003","certain-1-002","YÁ¸ E SEN O?","yéʔ ə sən ʔa?"
"00004","certain-1-003","EWE Á SW̱ EN¸Á? I¸ SEU¸Á¸ O, ṈI¸ED?","ʔə́wə ʔe sxʷ ʔənʔé? ʔiʔsəw̕éʔ ʔa, ŋíʔət̕?"
"00005","womans-name-1","O¸OŚ","ʔaʔáš"
"00006","slow-1","O¸ĆEṈ","ʔáʔčəŋ"
"00007","slow-1-001","O¸ĆEṈ TI¸Á.","ʔáʔčəŋ tíʔe."
"00008","slow-1-002","EN¸ÁN¸ SW̱ U¸ O¸ĆEṈ.","ʔənʔén̕ sxʷ uʔ ʔáʔčəŋ."
"00009","slow-1-003","EN¸ÁN¸ U¸ O¸ĆEṈ TŦE NE STIȻEN.","ʔənʔén̕ uʔ ʔáʔčəŋ tθə nəstíkʷən."
"00010","slow-1-004","NÁN¸ U¸ O¸ĆEṈ TŦE KÍOṮEN¸ Ȼ SȻONEṈETS.","nén̕ uʔ ʔáʔčəŋ tθə q̕əyáƛ̕ən̕ kʷ skʷánəŋəts."
"00011","slow-1-005","SU¸ YÁ¸S I EN¸ÁN¸ WE¸OĆE EU¸ O¸ĆEṈ TŦE SȽÁNI¸.","suʔyéʔs ʔi ʔənʔén̕ wəʔač ʔəw̕ ʔáʔčəŋ tθə sɬéniʔ."
"00012","slow-worker-1","O¸ĆEṈIȻES","ʔaʔčəŋíkʷəs"
"00013","slow-worker-1-001","ÁN¸ SW̱ EU¸ O¸ĆEṈIȻES.","ʔén̕ sxʷ ʔəw̕ ʔaʔčəŋíkʷəs."
"00014","slow-worker-1-002","O¸ĆEṈIȻES TŦE SWIU¸LES.","ʔaʔčəŋíkʷəs tθə swíw̕ləs."
"00015","be-slowed-1","O¸ĆEṈIȻESTEṈ","ʔaʔčəŋíkʷəstəŋ"
"00016","be-slowed-1-001","O¸ĆEṈIȻESTEṈ SEN.","ʔaʔčəŋíkʷəstəŋ sən."
"00017","be-slowed-1-002","O¸ĆEṈIȻESTEṈ TŦE NE TÁN.","ʔaʔčəŋíkʷəstəŋ tθə nətén."
"00018","slow-it-1","O¸ĆEṈIȻESTW̱","ʔaʔčəŋíkʷəstxʷ"
"00019","slow-it-1-001","O¸ĆEṈIȻESTW̱ SEN TŦE NE TÁN.","ʔaʔčəŋíkʷəstxʷ sən tθə nətén."
"00020","slow-down-1","O¸ĆEṈSET","ʔáʔčəŋsət"
"00021","slow-down-1-001","ÁN¸ U¸ O¸ĆEṈSET TŦE S¸ÁLEW̱.","ʔén̕ ʔuʔ ʔáʔčəŋsət tθə sʔéləxʷ."
"00022","slow-it-2","O¸ĆEṈTW̱","ʔáʔčəŋtxʷ"
"00023","slow-it-2-001","O¸ SE¸ YÁ¸ I¸ TU¸ O¸ĆEṈTW̱ SW̱ OL¸.","ʔáʔ səʔ yéʔ ʔiʔ tuʔʔáʔčəŋtxʷ sxʷ ʔal̕."
"00024","taking-care-1","O¸EQEȽ","ʔáʔək̕ʷəɬ"
"00025","taking-care-1-001","O¸EQEȽ TŦE SWIU¸LES E TŦE SṮELIṮȽḴEȽ.","ʔáʔək̕ʷəɬ tθə swíw̕ləs ʔə tθə sƛ̕əlíƛ̕ɬqəɬ."
"00026","obeying-1","O¸ENEȽ","ʔáʔənəɬ"
"00027","obeying-1-001","O¸ENEȽ TŦE SṮELIṮȽḴEȽ.","ʔáʔənəɬ tθə sƛ̕əlíƛ̕ɬqəɬ."
"00028","long-tailed-duck-1","O¸EṈE¸","ʔáʔəŋəʔ"
"00029","long-tailed-duck-1-001","EWE S U¸ ȽEN¸QT TŦE EṈI¸.","ʔə́wə s ʔuʔɬə́n̕k̕ʷt tθə ʔəŋíʔ."
"00030","stretching-1","O¸ED","ʔáʔət̕"
"00031","going-to-1","O¸EX̱","ʔáʔəx̣ʷ"
"00032","going-to-1-001","I¸ O¸EX̱.","ʔiʔʔáʔəx̣ʷ."
"00033","going-to-1-002","I¸ O¸EX̱ SEN.","ʔiʔʔáʔəx̣ʷ sən."
"00034","going-to-1-003","IO¸EX̱ SEN E TŦE TÁLEHÁU¸TW̱.","ʔiʔáʔəx̣ʷ sən ʔə tθə teləhéw̕txʷ."
"00035","going-to-1-004","I¸ YOŦ JE EU¸ O¸EX̱ E TŦE TW̱ENEWEȽ E TȽ PICTE TE U¸ XOĆE¸.","ʔiʔyáθ č̕ə ʔəw̕ ʔáʔəx̣ʷ ʔə tθə txʷənə́wəɬ ʔə tɬ píktə tə ʔuʔx̣áčəʔ."
"00036","going-to-1-005","ŚW̱ O¸EX̱S E Ȼ SKELO¸EṈS.","šxʷʔáʔəx̣ʷs ʔə kʷ sq̕əláʔəŋs."
"00037","going-to-1-006","QENNEW̱ SEN ȻSE SWÍ¸ḴE¸ I¸ O¸EX̱.","k̕ʷə́nnəxʷ sən kʷsə swə́y̕qəʔ iʔʔáʔəx̣ʷ."
"00038","going-to-1-007","QENNEW̱ SEN ȻSE SWÍ¸ḴE¸ ȻSE I¸ O¸EX̱.","k̕ʷə́nnəxʷ sən kʷsə swə́y̕qəʔ kʷsə iʔʔáʔəx̣ʷ."
"00039","going-to-1-008","SU¸ MEQS OL¸ EXIN ŚW̱ O¸EX̱S.","suʔmə́k̕ʷs ʔal̕ ʔəx̣ín šxʷʔáʔəx̣ʷs."
"00040","going-to-1-009","NI¸ TŦE YÁ¸ O¸EX̱ E TȽ Í¸EḴEN Ȼ SȽEN¸QÁL¸S TŦE ĆEN¸ȾOȽEṈ¸.","níʔ tθə yéʔ ʔáʔəx̣ʷ ʔə tɬ ʔə́y̕əqən kʷ sɬən̕k̕ʷél̕s tθə čən̕t̕ᶿáɬəŋ̕."
"00041","going-to-1-010","NIȽ ŚW̱ O¸EX̱S LE¸ TŦE EȽTÁLṈEW̱ SȻEȻÁ¸IL¸S E TŦE W̱TIWEL.","níɬ šxʷʔáʔəx̣ʷs ləʔ tθə ʔəɬtélŋəxʷ skʷəkʷéʔil̕s ʔə tθə xʷtíwəl."
